File,Domain,Definition (First 100 chars),Issue Type,Full Issue Description
aesthetic-algorithm-imbalance-display.html,AI Art,"When an AI tool keeps generating the same types of images even though you ask for different...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-algorithm-imbalance-display.html,AI Art,"When an AI tool keeps generating the same types of images even though you ask for different...",Prescriptive language,Uses "you/your" language addressing the reader
aesthetic-consensus-in-ai-generated-art.html,AI Art,"When different people using the same AI tool mostly agree on which outputs look good and w...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-preference-algorithm-optimization.html,AI Art,"When AI companies deliberately tune their tools to prefer certain styles because those sel...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aesthetic-training-data-contamination.html,AI Art,"When training data includes low-quality images, plagiarized work, or images from only one...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-community-identity-formation.html,AI Art,"When people who use AI art tools start to develop their own style and values as a group, t...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-community-legitimacy-building.html,AI Art,"The process where AI artists work to get their work taken seriously by galleries, museums,...",Generic boilerplate,Uses vague "The process where..." opening that could apply to any term
ai-art-copyright-enforcement-challenge.html,AI Art,"When an AI generated image wins a contest or gets sold, it's unclear whether the person w...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-market-speculation-effect.html,AI Art,"When AI art tools become trendy, prices go up fast. People buy pieces as investments, ho...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-ownership-legal-ambiguity.html,AI Art,"When someone uses Midjourney or DALL-E to make an image, nobody is sure if that person a...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-art-style-clustering-effect.html,AI Art,"AI art tools tend to make images that look similar to each other. After a while, you can...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artist-attribution-framework.html,AI Art,"When an AI artwork is displayed, how should credit work? Do you list the person who wrote...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-artist-attribution-framework.html,AI Art,"When an AI artwork is displayed, how should credit work? Do you list the person who wrote...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artistic-output-reproducibility.html,AI Art,"When you type the exact same prompt twice into the same AI tool, you might get completely...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-artistic-output-reproducibility.html,AI Art,"When you type the exact same prompt twice into the same AI tool, you might get completely...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artistic-style-transfer-effect.html,AI Art,"AI tools can take the style of one artist and apply it to your prompt, but this raises q...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artistic-training-data-opacity.html,AI Art,"Nobody really knows which artists' work was used to train an AI art tool, so you can't eas...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artwork-attribution-challenge.html,AI Art,"When an AI artwork appears in a gallery or online, it's often unclear who should get cre...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
ai-artwork-conceptual-originality.html,AI Art,"Even though AI generates the image, the prompt and the selection of 'the right output' f...",Prescriptive language,Uses "you/your" language addressing the reader
ai-artwork-market-price-discovery.html,AI Art,"When an AI artwork sells at auction, it helps establish what similar pieces should cost—...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
algorithm-aesthetic-exploration-guidance.html,AI Art,"When an AI tool suggests variations or next steps to help the user find the look they want...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
algorithm-aesthetic-fairness-adjustment.html,AI Art,"When tool creators fix their algorithm because they noticed it was unfairly favoring or i...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
algorithm-aesthetic-preference-concentration.html,AI Art,"When an AI tool's outputs cluster around one particular 'look' instead of spreading acro...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
algorithmic-art-curation-effect.html,AI Art,"When algorithms decide which AI artworks get shown on Instagram or in galleries, that sha...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
algorithmic-curation-aesthetic-homogenization.html,AI Art,"When an algorithm keeps showing users images similar to ones they liked before, the whole...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
art-style-homogenization-through-ai.html,AI Art,"When everyone in the art world uses the same AI tool, all the generated art starts to sh...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
artistic-attribution-system-design.html,AI Art,"The system for labeling who created an AI artwork—which information gets shown, in what o...",Generic boilerplate,Uses vague "The system for..." opening that could apply to any term
artistic-community-ai-acceptance.html,AI Art,"The process by which traditional artists, galleries, and collectors are starting to see A...",Generic boilerplate,Uses vague "The process by which..." opening that could apply to any term
artistic-community-ai-integration-mismatch.html,AI Art,"When a gallery wants to include AI art but the artist community is skeptical, there's fri...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
artistic-copyright-in-ai-generated-works.html,AI Art,"When an AI makes a picture, can that picture be copyrighted? And if so, by whom?",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
artistic-intent-disambiguation-in-ai.html,AI Art,"When someone's prompt is ambiguous, the AI might misunderstand what they wanted—'a sad ...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
generated-art-market-integration.html,AI Art,"The process of AI artworks becoming a real commodity you can buy, sell, and invest in li...",Generic boilerplate,Uses vague "The process of..." opening that could apply to any term
generated-art-market-integration.html,AI Art,"The process of AI artworks becoming a real commodity you can buy, sell, and invest in li...",Prescriptive language,Uses "you/your" language addressing the reader
generated-artwork-reproducibility-paradox.html,AI Art,"If you can regenerate an identical artwork from a prompt, is it still original? Or is it...",Prescriptive language,Uses "you/your" language addressing the reader
generated-image-quality-prediction.html,AI Art,"An AI system that looks at your prompt and predicts how good the generated images will b...",Prescriptive language,Uses "you/your" language addressing the reader
generated-image-quality-variance.html,AI Art,"When you run the same prompt twice, you get different images—sometimes beautiful, someti...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
generated-image-quality-variance.html,AI Art,"When you run the same prompt twice, you get different images—sometimes beautiful, someti...",Prescriptive language,Uses "you/your" language addressing the reader
accessibility-feature-invisibility.html,Aging AI,"When a phone has features to help older people see better or use it easier, but nobody t...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
age-based-algorithm-imbalance-visibility.html,Aging AI,"When recommendation algorithms show completely different content to older users versus y...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
age-based-technology-avoidance.html,Aging AI,"When someone decides 'technology is not for me' and just stops trying. Often happens af...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aging-cognitive-load-compensation.html,Aging AI,"When someone's brain gets a little slower or doesn't hold onto details as easily, they ...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aging-fine-motor-control-accommodation.html,Aging AI,"When precise hand movements get tougher - like the tiny space you have to tap to turn of...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
aging-fine-motor-control-accommodation.html,Aging AI,"When precise hand movements get tougher - like the tiny space you have to tap to turn of...",Prescriptive language,Uses "you/your" language addressing the reader
aging-motor-control-accommodation-pattern.html,Aging AI,"The pattern of older people adjusting how they physically interact with technology - may...",Generic boilerplate,Uses vague "The pattern of..." opening that could apply to any term
ai-response-pace-mismatch.html,Aging AI,"When an app or voice assistant responds way faster than feels natural to someone older, ...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
cognitive-load-amplification-effect.html,Aging AI,"When an interface is confusing, it takes way more mental energy to use. An older brain d...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
elder-tech-adoption-resistance-pattern.html,Aging AI,"The pattern of older people saying no to new tech at first, then slowly coming around i...",Generic boilerplate,Uses vague "The pattern of..." opening that could apply to any term
elder-user-error-recovery-difficulty.html,Aging AI,"When something goes wrong - you hit the wrong button, delete something by accident - ole...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
elder-user-error-recovery-difficulty.html,Aging AI,"When something goes wrong - you hit the wrong button, delete something by accident - ole...",Prescriptive language,Uses "you/your" language addressing the reader
elder-user-support-dependence.html,Aging AI,"A lot of older people rely on help from family or friends to use technology. That's not ...",Prescriptive language,Uses "you/your" language addressing the reader
generational-help-seeking-behavior.html,Aging AI,"When something goes wrong, teenagers ask Google or YouTube. Older people ask their famil...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
generational-instruction-format-preference.html,Aging AI,"Older people often prefer step-by-step written instructions with pictures. Younger peopl...",Prescriptive language,Uses "you/your" language addressing the reader
generational-tech-adoption-timeline.html,Aging AI,"When someone first uses a technology matters a lot. If you learned email at 25, it's dif...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
generational-tech-adoption-timeline.html,Aging AI,"When someone first uses a technology matters a lot. If you learned email at 25, it's dif...",Prescriptive language,Uses "you/your" language addressing the reader
interface-stability-psychological-safety.html,Aging AI,"When an interface is familiar and stable, you feel safe exploring it. But when it keeps...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
interface-stability-psychological-safety.html,Aging AI,"When an interface is familiar and stable, you feel safe exploring it. But when it keeps...",Prescriptive language,Uses "you/your" language addressing the reader
tech-adoption-timing-effect.html,Aging AI,"When in life someone learns a technology shapes how they think about it forever. Learning...",Forbidden opening pattern,Definition starts with "When..." instead of explaining what the term is
tech-company-age-invisibility.html,Aging AI,"Tech companies basically pretend nobody over 40 or 50 exists. When you look at their lea...",Prescriptive language,Uses "you/your" language addressing the reader
tech-support-generational-language-gap.html,Aging AI,"Tech support people use jargon that older people don't know. 'Cache,' 'cookies,' 'cleari...",Prescriptive language,Uses "you/your" language addressing the reader
technological-competence-verification-difficulty.html,Aging AI,"How do you prove you know tech if you're older? Credentials are easy to fake. You might...",Prescriptive language,Uses "you/your" language addressing the reader
technological-literacy-threshold.html,Aging AI,"There's a minimum amount of tech knowledge you need to even function in modern life - em...",Prescriptive language,Uses "you/your" language addressing the reader
